Gender,Category,Parental Education,Hometown Area,Family annual income,Guidance from family,Family member in same field,Percentage in 10th,Percentage in 12th ,Medium studied in?,CPI in graduation,Course,College type,Attendance in class,Living arrangement ,Participation in class,Homework submission,Preparation level,Study hours,Educational Technology,Internet Usage,Weekend plans,Study technique,Study environment,Learning style,Study Group Size,Sleeping time,Extracurricular Activities,Your class buddy friend,Relationship Status in last sem
Other,General,Primary (1-8),Semi-Urban,Below 1 lakh,No,No,Above 90%,Below 60%,Regional languages,7.64,Law,NIT,70%,Other,Frequently,On the due date,10%,5+ hours,No,1-2 hours,Netflix and Chill,Revising the whole notes,Home (self),From YouTube/online platforms,3,12am or before,No,Better than you,Healthy Relationship
Other,ST/SC,Secondary (9-12),Semi-Urban,1 - 2.5 lakh,No,No,Below 60%,80-90%,Regional languages,9.28,B.tech,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Once in a while,2 or more days before due date,100%,5+ hours,Yes,5+ hours,Sleeping all day,Revising the whole notes,Home (group study),From friends after class,2,2am,No,Better than you,Toxic Relationship
Female,OBC,Tertiary (graduation or above),Rural,1 - 2.5 lakh,No,Yes,Below 60%,70-80%,English,8.23,Other,Reputed University,70%,Other,Frequently,2 or more days before due date,50%,5+ hours,Yes,1-2 hours,Going outside with friends,Revising the whole notes,Library (group study),From Professor in class,3,1am,No,Worse than you,Single
Male,Other (PWD),Tertiary (graduation or above),Urban,2.5 - 5 lakh,Yes,Yes,Above 90%,Below 60%,Hindi,9.37,BCA,IIT,70%,Hostel room,Once in a while,Missed some homeworks,50%,3-5 hours,No,5+ hours,Sleeping all day,Revising the whole notes,Library (self),Reading from books,2,3am or later,Yes,Worse than you,Healthy Relationship
Other,General,Primary (1-8),Urban,2.5 - 5 lakh,No,Yes,80-90%,80-90%,Hindi,6.88,B.tech,Reputed University,80%,Other,Frequently,On the due date,80%,3-5 hours,No,5+ hours,Netflix and Chill,Revising the whole notes,Library (self),From YouTube/online platforms,2,3am or later,No,Almost same as you,Single
Other,OBC,Primary (1-8),Urban,1 - 2.5 lakh,No,Yes,80-90%,70-80%,English,5.81,BCA,IIT,90%,Other,Never,Missed some homeworks,50%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Practice by writing,Library (self),From YouTube/online platforms,4,3am or later,Yes,Almost same as you,Toxic Relationship
Female,OBC,Secondary (9-12),Semi-Urban,above 10 lakh,Yes,No,Below 60%,Above 90%,English,5.64,Other,Reputed University,70%,PG room,Once in a while,Missed some homeworks,80%,5+ hours,No,0 hours,Netflix and Chill,Summarizing and making short notes,Library (self),Reading from books,More than 4,1am,No,Almost same as you,Toxic Relationship
Male,General,Secondary (9-12),Other,1 - 2.5 lakh,Yes,Yes,Below 60%,80-90%,Regional languages,6.48,M.sc.,Regional and Private Colleges,90%,Hostel room,Never,Missed some homeworks,10%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Library (self),From Professor in class,3,2am,No,Almost same as you,Healthy Relationship
Female,OBC,Tertiary (graduation or above),Rural,2.5 - 5 lakh,Yes,No,80-90%,60-70%,Regional languages,9.77,Law,IIT,70%,Other,Never,2 or more days before due date,10%,5+ hours,No,1-2 hours,Going outside with friends,Revising the whole notes,Library (self),From YouTube/online platforms,Alone,12am or before,Yes,Worse than you,Healthy Relationship
Male,General,Tertiary (graduation or above),Other,5 - 10 lakh,Yes,Yes,80-90%,80-90%,Regional languages,6.41,M.sc.,IIT,80%,Other,Never,Missed some homeworks,10%,3-5 hours,No,0 hours,Sleeping all day,Revising the whole notes,Library (self),From YouTube/online platforms,More than 4,12am or before,No,Better than you,Toxic Relationship
Female,General,Tertiary (graduation or above),Rural,above 10 lakh,No,Yes,Below 60%,Below 60%,Regional languages,7.08,MCA,Regional and Private Colleges,80%,PG room,Once in a while,2 or more days before due date,100%,5+ hours,Yes,0 hours,Revising the week's study material,Practice by writing,Home (group study),From friends after class,2,1am,Yes,Better than you,Single
Other,ST/SC,Tertiary (graduation or above),Other,above 10 lakh,No,No,80-90%,70-80%,Hindi,5.76,M.sc.,IIT,Didn't attend classes properly,Hostel room,Never,On the due date,10%,2 hours or less,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Library (self),Reading from books,Alone,2am,No,Almost same as you,Toxic Relationship
Female,ST/SC,Tertiary (graduation or above),Urban,1 - 2.5 lakh,Yes,Yes,70-80%,80-90%,Regional languages,9.91,M.tech,Reputed University,70%,PG room,Never,2 or more days before due date,100%,5+ hours,Yes,5+ hours,Revising the week's study material,Summarizing and making short notes,Home (group study),From friends after class,More than 4,12am or before,No,Worse than you,Toxic Relationship
Other,OBC,Primary (1-8),Other,1 - 2.5 lakh,Yes,Yes,60-70%,Above 90%,Regional languages,9.39,Law,Reputed University,70%,PG room,Frequently,2 or more days before due date,80%,5+ hours,No,0 hours,Sleeping all day,Summarizing and making short notes,Library (self),Reading from books,3,1am,No,Better than you,Toxic Relationship
Other,General,Tertiary (graduation or above),Other,above 10 lakh,No,Yes,Above 90%,Below 60%,Regional languages,5.96,Law,Regional and Private Colleges,70%,PG room,Once in a while,Missed some homeworks,100%,3-5 hours,Yes,0 hours,Sleeping all day,Practice by writing,Library (group study),From Professor in class,4,12am or before,No,Almost same as you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Semi-Urban,2.5 - 5 lakh,Yes,Yes,Above 90%,60-70%,Hindi,7.67,M.sc.,NIT,80%,Hostel room,Once in a while,Missed some homeworks,10%,2 hours or less,Yes,5+ hours,Going outside with friends,Practice by writing,Home (self),From Professor in class,2,12am or before,No,Worse than you,Healthy Relationship
Other,OBC,Primary (1-8),Other,above 10 lakh,No,Yes,60-70%,70-80%,Regional languages,8.27,Law,Reputed University,80%,PG room,Frequently,2 or more days before due date,10%,2 hours or less,Yes,2-4 hours,Netflix and Chill,Revising the whole notes,Library (group study),From YouTube/online platforms,Alone,1am,Yes,Almost same as you,Healthy Relationship
Female,ST/SC,Secondary (9-12),Other,5 - 10 lakh,Yes,No,80-90%,Below 60%,Regional languages,7.7,M.sc.,NIT,80%,Hostel room,Once in a while,Missed some homeworks,100%,2 hours or less,Yes,2-4 hours,Going outside with friends,Practice by writing,Home (self),Reading from books,More than 4,12am or before,Yes,Almost same as you,Single
Male,OBC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,Yes,60-70%,60-70%,Regional languages,6.53,M.sc.,Reputed University,Didn't attend classes properly,Home,Frequently,Missed some homeworks,80%,3-5 hours,No,0 hours,Netflix and Chill,Revising the whole notes,Home (self),Reading from books,Alone,2am,No,Almost same as you,Single
Female,OBC,Primary (1-8),Rural,2.5 - 5 lakh,No,No,Below 60%,80-90%,Regional languages,7.31,BCA,Reputed University,70%,PG room,Never,On the due date,10%,5+ hours,No,0 hours,Sleeping all day,Practice by writing,Home (self),From Professor in class,2,3am or later,Yes,Worse than you,Toxic Relationship
Male,Other (PWD),Tertiary (graduation or above),Other,Below 1 lakh,No,No,60-70%,80-90%,English,8.28,B.tech,NIT,80%,Hostel room,Never,On the due date,10%,5+ hours,Yes,0 hours,Sleeping all day,Summarizing and making short notes,Library (self),Reading from books,2,1am,No,Almost same as you,Toxic Relationship
Male,Other (PWD),Secondary (9-12),Semi-Urban,1 - 2.5 lakh,Yes,Yes,80-90%,Above 90%,English,7.2,Law,Regional and Private Colleges,Didn't attend classes properly,Other,Never,2 or more days before due date,100%,2 hours or less,Yes,1-2 hours,Going outside with friends,Revising the whole notes,Library (group study),From YouTube/online platforms,More than 4,2am,No,Almost same as you,Toxic Relationship
Female,General,Tertiary (graduation or above),Urban,above 10 lakh,No,No,80-90%,70-80%,Hindi,8.19,Law,IIT,Didn't attend classes properly,Hostel room,Once in a while,On the due date,10%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Practice by writing,Library (group study),From Professor in class,4,12am or before,No,Better than you,Toxic Relationship
Male,Other (PWD),Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,Above 90%,Above 90%,Regional languages,9.16,Law,IIT,80%,Hostel room,Frequently,2 or more days before due date,100%,2 hours or less,No,0 hours,Going outside with friends,Practice by writing,Library (self),From friends after class,3,2am,No,Worse than you,Toxic Relationship
Male,OBC,Secondary (9-12),Other,Below 1 lakh,Yes,No,Below 60%,60-70%,Regional languages,8.27,B.sc.,IIT,70%,Other,Once in a while,Missed some homeworks,10%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Summarizing and making short notes,Home (group study),Reading from books,4,3am or later,Yes,Almost same as you,Single
Other,Other (PWD),Primary (1-8),Other,1 - 2.5 lakh,No,Yes,60-70%,80-90%,English,6.35,M.tech,IIT,Didn't attend classes properly,Other,Once in a while,Missed some homeworks,80%,5+ hours,Yes,2-4 hours,Sleeping all day,Summarizing and making short notes,Library (group study),Reading from books,More than 4,3am or later,Yes,Worse than you,Toxic Relationship
Male,OBC,Primary (1-8),Urban,5 - 10 lakh,No,Yes,Below 60%,60-70%,English,6.78,BCA,Regional and Private Colleges,80%,PG room,Never,2 or more days before due date,50%,2 hours or less,Yes,1-2 hours,Netflix and Chill,Summarizing and making short notes,Home (group study),From friends after class,More than 4,3am or later,Yes,Almost same as you,Healthy Relationship
Female,ST/SC,Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,Yes,80-90%,80-90%,English,9.07,Other,Reputed University,90%,PG room,Frequently,2 or more days before due date,10%,3-5 hours,No,2-4 hours,Netflix and Chill,Practice by writing,Library (self),From Professor in class,4,2am,Yes,Worse than you,Toxic Relationship
Male,General,Primary (1-8),Urban,Below 1 lakh,Yes,No,80-90%,Below 60%,Hindi,5.04,M.sc.,Regional and Private Colleges,90%,Other,Frequently,On the due date,50%,2 hours or less,Yes,5+ hours,Netflix and Chill,Revising the whole notes,Home (self),From YouTube/online platforms,More than 4,2am,Yes,Worse than you,Healthy Relationship
Other,OBC,Primary (1-8),Semi-Urban,above 10 lakh,No,No,60-70%,Above 90%,Regional languages,8.57,Law,Regional and Private Colleges,70%,PG room,Frequently,On the due date,10%,2 hours or less,No,2-4 hours,Sleeping all day,Summarizing and making short notes,Home (group study),From Professor in class,4,2am,No,Worse than you,Healthy Relationship
Male,ST/SC,Tertiary (graduation or above),Semi-Urban,above 10 lakh,No,Yes,60-70%,Below 60%,English,8.14,BCA,NIT,80%,Other,Never,Missed some homeworks,10%,2 hours or less,No,1-2 hours,Revising the week's study material,Practice by writing,Library (group study),From friends after class,Alone,12am or before,No,Almost same as you,Single
Male,Other (PWD),Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,No,Below 60%,70-80%,Regional languages,9.98,Law,Regional and Private Colleges,70%,Other,Once in a while,2 or more days before due date,10%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Home (group study),From YouTube/online platforms,3,1am,Yes,Better than you,Single
Other,ST/SC,Tertiary (graduation or above),Semi-Urban,2.5 - 5 lakh,Yes,Yes,60-70%,60-70%,English,7.29,B.sc.,Regional and Private Colleges,Didn't attend classes properly,Home,Once in a while,2 or more days before due date,80%,3-5 hours,No,2-4 hours,Netflix and Chill,Revising the whole notes,Library (self),Reading from books,2,2am,Yes,Better than you,Single
Other,General,Secondary (9-12),Other,1 - 2.5 lakh,Yes,Yes,70-80%,Below 60%,Hindi,7.41,B.sc.,NIT,80%,Home,Never,2 or more days before due date,100%,2 hours or less,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Library (self),From YouTube/online platforms,3,12am or before,Yes,Worse than you,Toxic Relationship
Male,General,Tertiary (graduation or above),Other,5 - 10 lakh,Yes,Yes,Below 60%,80-90%,Hindi,6.72,M.sc.,Regional and Private Colleges,70%,PG room,Frequently,On the due date,50%,2 hours or less,No,0 hours,Netflix and Chill,Summarizing and making short notes,Library (group study),From Professor in class,Alone,2am,No,Worse than you,Single
Other,ST/SC,Primary (1-8),Semi-Urban,Below 1 lakh,No,Yes,60-70%,Below 60%,English,9.3,MCA,NIT,Didn't attend classes properly,PG room,Once in a while,Missed some homeworks,100%,2 hours or less,No,1-2 hours,Going outside with friends,Practice by writing,Library (self),From Professor in class,2,3am or later,No,Better than you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Urban,above 10 lakh,Yes,Yes,Below 60%,Below 60%,Regional languages,5.96,M.sc.,Reputed University,Didn't attend classes properly,Hostel room,Frequently,On the due date,80%,5+ hours,Yes,2-4 hours,Revising the week's study material,Revising the whole notes,Library (group study),From friends after class,4,3am or later,Yes,Almost same as you,Healthy Relationship
Other,OBC,Secondary (9-12),Semi-Urban,5 - 10 lakh,Yes,Yes,60-70%,70-80%,Hindi,9.72,MCA,NIT,80%,Hostel room,Once in a while,2 or more days before due date,10%,3-5 hours,Yes,0 hours,Netflix and Chill,Practice by writing,Library (group study),From friends after class,4,1am,No,Worse than you,Toxic Relationship
Other,Other (PWD),Secondary (9-12),Other,1 - 2.5 lakh,Yes,Yes,80-90%,80-90%,English,8.28,MCA,Reputed University,90%,Hostel room,Frequently,On the due date,80%,2 hours or less,No,1-2 hours,Sleeping all day,Revising the whole notes,Home (group study),From Professor in class,2,12am or before,Yes,Almost same as you,Healthy Relationship
Male,Other (PWD),Tertiary (graduation or above),Other,above 10 lakh,Yes,Yes,70-80%,Above 90%,Hindi,8.56,Other,IIT,Didn't attend classes properly,Other,Frequently,2 or more days before due date,80%,2 hours or less,No,0 hours,Netflix and Chill,Practice by writing,Home (group study),Reading from books,3,2am,No,Better than you,Healthy Relationship
Other,Other (PWD),Tertiary (graduation or above),Semi-Urban,above 10 lakh,No,Yes,60-70%,70-80%,Regional languages,5.62,M.sc.,NIT,80%,Home,Frequently,On the due date,10%,3-5 hours,No,1-2 hours,Going outside with friends,Practice by writing,Library (self),From YouTube/online platforms,4,1am,No,Worse than you,Healthy Relationship
Female,ST/SC,Tertiary (graduation or above),Urban,1 - 2.5 lakh,Yes,No,60-70%,60-70%,English,5.84,BCA,IIT,Didn't attend classes properly,Hostel room,Frequently,2 or more days before due date,10%,5+ hours,Yes,0 hours,Revising the week's study material,Summarizing and making short notes,Home (group study),Reading from books,More than 4,2am,No,Almost same as you,Healthy Relationship
Female,OBC,Primary (1-8),Rural,above 10 lakh,No,Yes,70-80%,Above 90%,Hindi,9.11,M.sc.,IIT,80%,Home,Never,On the due date,100%,5+ hours,Yes,1-2 hours,Going outside with friends,Practice by writing,Library (group study),Reading from books,4,1am,No,Almost same as you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Semi-Urban,5 - 10 lakh,No,No,60-70%,Below 60%,English,8.44,Other,Reputed University,90%,Hostel room,Once in a while,Missed some homeworks,80%,3-5 hours,Yes,5+ hours,Going outside with friends,Revising the whole notes,Home (self),From YouTube/online platforms,2,3am or later,Yes,Worse than you,Single
Female,General,Secondary (9-12),Rural,5 - 10 lakh,Yes,No,60-70%,70-80%,Regional languages,6.09,Other,Reputed University,80%,Hostel room,Never,Missed some homeworks,100%,2 hours or less,No,5+ hours,Sleeping all day,Revising the whole notes,Home (group study),Reading from books,4,12am or before,No,Almost same as you,Single
Other,Other (PWD),Primary (1-8),Other,2.5 - 5 lakh,Yes,No,80-90%,60-70%,English,7.33,BCA,Regional and Private Colleges,Didn't attend classes properly,PG room,Never,On the due date,50%,2 hours or less,No,2-4 hours,Going outside with friends,Summarizing and making short notes,Library (group study),Reading from books,More than 4,2am,Yes,Almost same as you,Single
Female,ST/SC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,Yes,Yes,60-70%,60-70%,Hindi,6.14,Other,IIT,90%,Other,Never,On the due date,50%,2 hours or less,No,0 hours,Going outside with friends,Practice by writing,Home (self),From Professor in class,Alone,12am or before,Yes,Worse than you,Toxic Relationship
Male,General,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,No,70-80%,Above 90%,English,5.74,M.sc.,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Never,On the due date,50%,3-5 hours,No,1-2 hours,Netflix and Chill,Practice by writing,Home (group study),From Professor in class,Alone,2am,Yes,Almost same as you,Toxic Relationship
Other,ST/SC,Primary (1-8),Urban,Below 1 lakh,Yes,No,80-90%,Below 60%,Hindi,6.5,B.tech,Regional and Private Colleges,70%,Hostel room,Frequently,On the due date,50%,2 hours or less,No,1-2 hours,Sleeping all day,Summarizing and making short notes,Home (self),Reading from books,2,2am,No,Better than you,Healthy Relationship
Male,ST/SC,Primary (1-8),Rural,2.5 - 5 lakh,No,Yes,Above 90%,80-90%,Hindi,7.5,B.tech,NIT,70%,Home,Never,Missed some homeworks,100%,2 hours or less,Yes,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From Professor in class,3,1am,Yes,Better than you,Toxic Relationship
Other,General,Secondary (9-12),Rural,2.5 - 5 lakh,Yes,Yes,Above 90%,Below 60%,Regional languages,8.93,B.tech,Regional and Private Colleges,90%,Other,Never,Missed some homeworks,10%,3-5 hours,No,0 hours,Sleeping all day,Revising the whole notes,Library (self),Reading from books,2,1am,No,Almost same as you,Single
Other,OBC,Primary (1-8),Semi-Urban,5 - 10 lakh,Yes,No,80-90%,Below 60%,Hindi,7.4,Other,Reputed University,70%,Other,Never,On the due date,100%,5+ hours,No,0 hours,Revising the week's study material,Summarizing and making short notes,Library (self),From YouTube/online platforms,3,3am or later,No,Almost same as you,Single
Other,Other (PWD),Primary (1-8),Urban,Below 1 lakh,Yes,No,80-90%,60-70%,Regional languages,9.28,B.sc.,IIT,Didn't attend classes properly,Hostel room,Frequently,Missed some homeworks,50%,3-5 hours,No,2-4 hours,Sleeping all day,Summarizing and making short notes,Library (group study),From friends after class,More than 4,2am,No,Almost same as you,Single
Other,Other (PWD),Tertiary (graduation or above),Semi-Urban,Below 1 lakh,No,No,80-90%,80-90%,Hindi,8.7,Other,Regional and Private Colleges,80%,Other,Never,On the due date,10%,5+ hours,Yes,5+ hours,Sleeping all day,Summarizing and making short notes,Library (group study),From friends after class,2,1am,Yes,Better than you,Healthy Relationship
Female,ST/SC,Secondary (9-12),Urban,1 - 2.5 lakh,Yes,No,Below 60%,60-70%,Hindi,7.12,B.sc.,Regional and Private Colleges,70%,Other,Frequently,Missed some homeworks,100%,3-5 hours,No,1-2 hours,Netflix and Chill,Summarizing and making short notes,Home (group study),From Professor in class,More than 4,3am or later,Yes,Worse than you,Toxic Relationship
Female,OBC,Secondary (9-12),Semi-Urban,2.5 - 5 lakh,Yes,No,60-70%,Below 60%,English,6.6,B.sc.,Regional and Private Colleges,70%,PG room,Once in a while,Missed some homeworks,50%,5+ hours,No,1-2 hours,Going outside with friends,Revising the whole notes,Home (self),From friends after class,More than 4,3am or later,Yes,Almost same as you,Single
Male,OBC,Tertiary (graduation or above),Other,1 - 2.5 lakh,No,No,Below 60%,70-80%,Hindi,8.75,Law,NIT,80%,Other,Frequently,2 or more days before due date,100%,5+ hours,Yes,0 hours,Going outside with friends,Revising the whole notes,Library (self),From YouTube/online platforms,More than 4,12am or before,No,Better than you,Toxic Relationship
Male,ST/SC,Secondary (9-12),Rural,2.5 - 5 lakh,Yes,Yes,80-90%,Below 60%,Hindi,9.36,BCA,Reputed University,90%,Hostel room,Frequently,2 or more days before due date,10%,3-5 hours,Yes,2-4 hours,Going outside with friends,Summarizing and making short notes,Home (group study),Reading from books,More than 4,3am or later,No,Worse than you,Single
Other,ST/SC,Tertiary (graduation or above),Urban,1 - 2.5 lakh,Yes,Yes,Below 60%,Above 90%,Regional languages,9.91,B.tech,Regional and Private Colleges,Didn't attend classes properly,Home,Never,2 or more days before due date,50%,3-5 hours,No,5+ hours,Revising the week's study material,Practice by writing,Home (group study),Reading from books,2,1am,Yes,Better than you,Toxic Relationship
Male,Other (PWD),Secondary (9-12),Other,above 10 lakh,Yes,No,60-70%,80-90%,English,6.49,BCA,Regional and Private Colleges,90%,PG room,Once in a while,Missed some homeworks,100%,5+ hours,Yes,1-2 hours,Revising the week's study material,Summarizing and making short notes,Library (self),From friends after class,4,2am,No,Better than you,Toxic Relationship
Male,General,Secondary (9-12),Rural,1 - 2.5 lakh,Yes,Yes,60-70%,60-70%,English,6.03,MCA,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Once in a while,Missed some homeworks,50%,2 hours or less,No,1-2 hours,Revising the week's study material,Practice by writing,Home (group study),From YouTube/online platforms,More than 4,1am,Yes,Better than you,Healthy Relationship
Other,General,Primary (1-8),Semi-Urban,Below 1 lakh,No,Yes,Above 90%,80-90%,Regional languages,9.66,BCA,IIT,Didn't attend classes properly,PG room,Never,2 or more days before due date,100%,3-5 hours,Yes,5+ hours,Sleeping all day,Revising the whole notes,Home (self),Reading from books,4,3am or later,No,Almost same as you,Single
Male,ST/SC,Secondary (9-12),Other,5 - 10 lakh,Yes,No,80-90%,70-80%,Regional languages,8.42,Other,Regional and Private Colleges,90%,PG room,Never,2 or more days before due date,10%,5+ hours,No,1-2 hours,Sleeping all day,Revising the whole notes,Library (group study),Reading from books,More than 4,12am or before,Yes,Worse than you,Toxic Relationship
Male,OBC,Primary (1-8),Semi-Urban,1 - 2.5 lakh,No,Yes,80-90%,70-80%,English,9.27,Other,Regional and Private Colleges,70%,Home,Once in a while,Missed some homeworks,80%,2 hours or less,No,0 hours,Netflix and Chill,Practice by writing,Library (group study),Reading from books,3,3am or later,Yes,Almost same as you,Healthy Relationship
Other,ST/SC,Tertiary (graduation or above),Urban,5 - 10 lakh,Yes,No,60-70%,60-70%,Hindi,8.88,B.tech,Regional and Private Colleges,Didn't attend classes properly,PG room,Frequently,Missed some homeworks,50%,5+ hours,No,2-4 hours,Sleeping all day,Revising the whole notes,Library (self),From YouTube/online platforms,More than 4,1am,No,Better than you,Toxic Relationship
Other,OBC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,Yes,Yes,80-90%,Below 60%,Regional languages,9.5,BCA,IIT,70%,Other,Frequently,On the due date,50%,2 hours or less,Yes,5+ hours,Sleeping all day,Summarizing and making short notes,Home (group study),From Professor in class,2,2am,No,Almost same as you,Single
Male,ST/SC,Secondary (9-12),Urban,Below 1 lakh,No,No,Above 90%,Below 60%,Regional languages,6.07,M.sc.,Reputed University,90%,PG room,Never,On the due date,10%,5+ hours,No,1-2 hours,Revising the week's study material,Practice by writing,Library (self),Reading from books,3,12am or before,Yes,Almost same as you,Healthy Relationship
Other,OBC,Primary (1-8),Rural,1 - 2.5 lakh,Yes,No,80-90%,Above 90%,English,6.79,M.sc.,IIT,80%,Home,Never,2 or more days before due date,50%,5+ hours,Yes,5+ hours,Sleeping all day,Practice by writing,Home (group study),From friends after class,More than 4,3am or later,No,Worse than you,Healthy Relationship
Male,OBC,Tertiary (graduation or above),Semi-Urban,1 - 2.5 lakh,No,No,Below 60%,60-70%,English,5.15,Law,NIT,Didn't attend classes properly,Home,Never,Missed some homeworks,100%,2 hours or less,No,1-2 hours,Revising the week's study material,Summarizing and making short notes,Home (self),From Professor in class,3,1am,No,Almost same as you,Single
Male,OBC,Secondary (9-12),Urban,Below 1 lakh,No,Yes,70-80%,60-70%,Regional languages,9.95,B.tech,IIT,Didn't attend classes properly,PG room,Never,Missed some homeworks,80%,5+ hours,No,5+ hours,Going outside with friends,Revising the whole notes,Home (group study),Reading from books,4,3am or later,No,Almost same as you,Healthy Relationship
Other,Other (PWD),Primary (1-8),Other,Below 1 lakh,Yes,Yes,80-90%,80-90%,Hindi,7.63,MCA,Regional and Private Colleges,80%,PG room,Once in a while,2 or more days before due date,50%,5+ hours,Yes,1-2 hours,Netflix and Chill,Revising the whole notes,Home (self),From friends after class,2,12am or before,No,Worse than you,Single
Female,General,Secondary (9-12),Urban,5 - 10 lakh,No,No,60-70%,Above 90%,Hindi,5.47,M.sc.,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Never,2 or more days before due date,80%,5+ hours,No,2-4 hours,Sleeping all day,Summarizing and making short notes,Library (self),From Professor in class,Alone,1am,No,Better than you,Single
Male,ST/SC,Tertiary (graduation or above),Urban,above 10 lakh,Yes,No,80-90%,80-90%,English,8.25,B.tech,Regional and Private Colleges,70%,Hostel room,Once in a while,On the due date,50%,5+ hours,No,1-2 hours,Sleeping all day,Revising the whole notes,Home (self),From friends after class,More than 4,12am or before,No,Better than you,Healthy Relationship
Male,General,Primary (1-8),Rural,1 - 2.5 lakh,Yes,No,Above 90%,Above 90%,English,7.6,Law,IIT,70%,Other,Frequently,2 or more days before due date,50%,2 hours or less,No,0 hours,Netflix and Chill,Revising the whole notes,Home (self),Reading from books,4,12am or before,No,Worse than you,Toxic Relationship
Other,ST/SC,Secondary (9-12),Rural,Below 1 lakh,No,No,70-80%,80-90%,English,9.52,BCA,Regional and Private Colleges,Didn't attend classes properly,Hostel room,Never,On the due date,80%,2 hours or less,Yes,2-4 hours,Sleeping all day,Practice by writing,Library (group study),Reading from books,More than 4,1am,Yes,Almost same as you,Healthy Relationship
Female,ST/SC,Secondary (9-12),Semi-Urban,2.5 - 5 lakh,No,Yes,60-70%,80-90%,English,7.95,Other,NIT,80%,Other,Once in a while,Missed some homeworks,10%,3-5 hours,No,0 hours,Sleeping all day,Revising the whole notes,Home (group study),Reading from books,Alone,3am or later,No,Almost same as you,Healthy Relationship
Female,Other (PWD),Primary (1-8),Semi-Urban,2.5 - 5 lakh,No,Yes,Below 60%,Above 90%,Regional languages,6.83,M.sc.,IIT,70%,Other,Never,On the due date,10%,5+ hours,No,2-4 hours,Netflix and Chill,Practice by writing,Home (group study),From YouTube/online platforms,4,2am,No,Better than you,Toxic Relationship
Male,ST/SC,Tertiary (graduation or above),Rural,Below 1 lakh,No,Yes,60-70%,Above 90%,English,8.14,MCA,NIT,70%,Hostel room,Never,2 or more days before due date,50%,5+ hours,Yes,2-4 hours,Going outside with friends,Summarizing and making short notes,Library (self),Reading from books,2,12am or before,Yes,Almost same as you,Single
Male,General,Tertiary (graduation or above),Other,Below 1 lakh,No,No,70-80%,Below 60%,Hindi,6.74,B.tech,NIT,70%,Other,Never,Missed some homeworks,80%,2 hours or less,Yes,1-2 hours,Sleeping all day,Practice by writing,Library (group study),From Professor in class,2,3am or later,No,Better than you,Toxic Relationship
Female,Other (PWD),Primary (1-8),Rural,1 - 2.5 lakh,Yes,Yes,60-70%,80-90%,Regional languages,8.86,MCA,Regional and Private Colleges,90%,Other,Once in a while,2 or more days before due date,80%,2 hours or less,Yes,0 hours,Netflix and Chill,Practice by writing,Library (self),From YouTube/online platforms,Alone,12am or before,No,Almost same as you,Single
Female,General,Primary (1-8),Urban,Below 1 lakh,Yes,No,Above 90%,60-70%,Regional languages,6.96,Other,Reputed University,Didn't attend classes properly,Other,Frequently,On the due date,10%,5+ hours,Yes,1-2 hours,Sleeping all day,Practice by writing,Home (group study),From Professor in class,More than 4,12am or before,No,Almost same as you,Toxic Relationship
Other,OBC,Primary (1-8),Semi-Urban,2.5 - 5 lakh,No,Yes,Above 90%,80-90%,English,9.73,Law,Regional and Private Colleges,70%,PG room,Once in a while,2 or more days before due date,10%,3-5 hours,No,5+ hours,Netflix and Chill,Revising the whole notes,Library (self),From Professor in class,Alone,2am,No,Worse than you,Healthy Relationship
Male,ST/SC,Secondary (9-12),Urban,above 10 lakh,Yes,No,60-70%,60-70%,English,8.63,MCA,Reputed University,Didn't attend classes properly,PG room,Never,On the due date,100%,2 hours or less,Yes,5+ hours,Netflix and Chill,Practice by writing,Home (group study),Reading from books,2,12am or before,Yes,Worse than you,Single
Male,General,Tertiary (graduation or above),Urban,above 10 lakh,No,No,70-80%,60-70%,Regional languages,6.67,M.sc.,Reputed University,70%,PG room,Once in a while,Missed some homeworks,80%,3-5 hours,No,1-2 hours,Going outside with friends,Summarizing and making short notes,Library (group study),From friends after class,4,1am,No,Almost same as you,Single
